escenario,espera_vacia_min,cara_caliente_tras_espera_C,media_25mm_tras_espera_C,carcasa_C,precalentador_min,criterio_limitante,criterio_alcanzado,deficit_energia_MJ
sin_tapa,0.0,1258.6,1237.1,164.4,0.0,cara_caliente_C,si,0.0
sin_tapa,15.0,870.0,1003.7,164.3,1.6,cara_caliente_C,si,1044.7
sin_tapa,30.0,796.7,913.2,164.4,3.1,cara_caliente_C,si,1796.9
sin_tapa,60.0,720.0,816.6,164.4,5.4,cara_caliente_C,si,3041.0
sin_tapa,90.0,673.7,758.8,164.2,7.1,cara_caliente_C,si,4109.2
sin_tapa,120.0,640.4,717.2,164.0,8.6,cara_caliente_C,si,5073.7
sin_tapa,180.0,592.3,658.0,162.6,11.0,cara_caliente_C,si,6802.1
sin_tapa,240.0,557.1,615.2,160.1,13.1,cara_caliente_C,si,8346.6
sin_tapa,360.0,504.3,552.2,151.6,16.5,cara_caliente_C,si,11056.0
sin_tapa,480.0,462.3,503.1,140.9,19.6,cara_caliente_C,si,13381.1
sin_tapa,720.0,392.2,422.7,120.6,25.5,cara_caliente_C,si,17164.3
sin_tapa,1440.0,238.6,252.1,81.0,41.1,cara_caliente_C,si,24130.2
con_tapa,0.0,1258.6,1237.1,164.4,0.0,cara_caliente_C,si,0.0
con_tapa,15.0,984.8,1078.3,164.3,0.5,cara_caliente_C,si,713.2
con_tapa,30.0,915.5,1003.4,164.4,1.4,cara_caliente_C,si,1294.8
con_tapa,60.0,837.5,915.4,164.4,2.9,cara_caliente_C,si,2311.3
con_tapa,90.0,787.9,858.8,164.3,4.3,cara_caliente_C,si,3219.0
con_tapa,120.0,750.9,816.7,164.0,5.5,cara_caliente_C,si,4057.5
con_tapa,180.0,696.0,754.4,162.9,7.6,cara_caliente_C,si,5593.4
con_tapa,240.0,655.1,708.0,160.8,9.4,cara_caliente_C,si,6993.9
con_tapa,360.0,593.3,638.1,153.8,12.6,cara_caliente_C,si,9504.3
con_tapa,480.0,544.3,583.3,144.7,15.5,cara_caliente_C,si,11711.0
con_tapa,720.0,463.5,493.8,126.3,21.1,cara_caliente_C,si,15412.7
con_tapa,1440.0,287.5,302.4,87.7,36.7,cara_caliente_C,si,22692.8
con_tapa_ajustada,0.0,1258.6,1237.1,164.4,0.0,cara_caliente_C,si,0.0
con_tapa_ajustada,15.0,1040.3,1113.0,164.3,0.1,cara_caliente_C,si,559.5
con_tapa_ajustada,30.0,976.2,1048.2,164.4,0.7,cara_caliente_C,si,1048.5
con_tapa_ajustada,60.0,900.4,967.4,164.4,1.8,cara_caliente_C,si,1935.5
con_tapa_ajustada,90.0,850.3,912.8,164.3,3.0,cara_caliente_C,si,2749.5
con_tapa_ajustada,120.0,812.0,871.0,164.0,4.0,cara_caliente_C,si,3514.2
con_tapa_ajustada,180.0,754.1,807.7,163.0,5.8,cara_caliente_C,si,4938.2
con_tapa_ajustada,240.0,710.0,759.5,161.1,7.5,cara_caliente_C,si,6256.6
con_tapa_ajustada,360.0,642.7,685.7,155.0,10.5,cara_caliente_C,si,8655.4
con_tapa_ajustada,480.0,589.5,627.4,146.7,13.4,cara_caliente_C,si,10797.3
con_tapa_ajustada,720.0,502.3,532.5,129.4,18.9,cara_caliente_C,si,14456.6
con_tapa_ajustada,1440.0,313.6,329.4,91.3,34.4,cara_caliente_C,si,21912.1
