escenario,espera_vacia_min,cara_caliente_tras_espera_C,media_25mm_tras_espera_C,carcasa_C,precalentador_min,criterio_limitante,criterio_alcanzado,deficit_energia_MJ
sin_tapa,0.0,1258.6,1225.1,164.4,0.0,cara_caliente_C,si,0.0
sin_tapa,15.0,870.0,1081.3,164.3,1.6,cara_caliente_C,si,1044.7
sin_tapa,30.0,796.7,998.8,164.4,3.1,cara_caliente_C,si,1796.9
sin_tapa,60.0,720.0,898.2,164.4,7.4,media_50mm_C,si,3041.0
sin_tapa,90.0,673.7,834.3,164.2,12.3,media_50mm_C,si,4109.2
sin_tapa,120.0,640.4,787.5,164.0,16.3,media_50mm_C,si,5073.7
sin_tapa,180.0,592.3,720.2,162.6,22.6,media_50mm_C,si,6802.1
sin_tapa,240.0,557.1,671.2,160.1,27.7,media_50mm_C,si,8346.6
sin_tapa,360.0,504.3,598.8,151.6,36.6,media_50mm_C,si,11056.0
sin_tapa,480.0,462.3,542.7,140.9,44.9,media_50mm_C,si,13381.1
sin_tapa,720.0,392.2,452.2,120.6,60.7,media_50mm_C,si,17164.3
sin_tapa,1440.0,238.6,264.9,81.0,104.1,media_50mm_C,si,24130.2
con_tapa,0.0,1258.6,1225.1,164.4,0.0,cara_caliente_C,si,0.0
con_tapa,15.0,984.8,1128.7,164.3,0.5,cara_caliente_C,si,713.2
con_tapa,30.0,915.5,1064.2,164.4,1.4,cara_caliente_C,si,1294.8
con_tapa,60.0,837.5,978.4,164.4,2.9,cara_caliente_C,si,2311.3
con_tapa,90.0,787.9,919.8,164.3,6.1,media_50mm_C,si,3219.0
con_tapa,120.0,750.9,874.9,164.0,9.7,media_50mm_C,si,4057.5
con_tapa,180.0,696.0,807.9,162.9,15.5,media_50mm_C,si,5593.4
con_tapa,240.0,655.1,757.4,160.8,20.3,media_50mm_C,si,6993.9
con_tapa,360.0,593.3,680.9,153.8,28.5,media_50mm_C,si,9504.3
con_tapa,480.0,544.3,620.7,144.7,36.1,media_50mm_C,si,11711.0
con_tapa,720.0,463.5,522.8,126.3,51.0,media_50mm_C,si,15412.7
con_tapa,1440.0,287.5,316.7,87.7,92.9,media_50mm_C,si,22692.8
con_tapa_ajustada,0.0,1258.6,1225.1,164.4,0.0,cara_caliente_C,si,0.0
con_tapa_ajustada,15.0,1040.3,1150.5,164.3,0.1,cara_caliente_C,si,559.5
con_tapa_ajustada,30.0,976.2,1096.3,164.4,0.7,cara_caliente_C,si,1048.5
con_tapa_ajustada,60.0,900.4,1020.0,164.4,1.8,cara_caliente_C,si,1935.5
con_tapa_ajustada,90.0,850.3,965.4,164.3,3.0,cara_caliente_C,si,2749.5
con_tapa_ajustada,120.0,812.0,922.3,164.0,6.1,media_50mm_C,si,3514.2
con_tapa_ajustada,180.0,754.1,856.0,163.0,11.7,media_50mm_C,si,4938.2
con_tapa_ajustada,240.0,710.0,804.9,161.1,16.3,media_50mm_C,si,6256.6
con_tapa_ajustada,360.0,642.7,726.3,155.0,24.2,media_50mm_C,si,8655.4
con_tapa_ajustada,480.0,589.5,663.6,146.7,31.5,media_50mm_C,si,10797.3
con_tapa_ajustada,720.0,502.3,561.2,129.4,45.8,media_50mm_C,si,14456.6
con_tapa_ajustada,1440.0,313.6,344.4,91.3,87.2,media_50mm_C,si,21912.1
